ID (year-event-number),What event did you attend? ,Indicate the gender you identify the most with:,What is your sexual orientation?,What is your race? (Mark all that apply),Are you a Transfer Student?,What is your UCLA affiliation?,Where are you currently living this school year?,How did you hear about this event or program?,"To what extent do you agree with the following statements: [By attending this event, I gained knowledge and/or skills that will benefit my overall health or well-being.]",To what extent do you agree with the following statements: [I would apply the knowledge and/or skills I gained from attending this event in my life.],To what extent do you agree with the following statements: [I would attend a similar event in the future.],Briefly describe what you liked or disliked about this event.
21-009-005,Active Minds: Food for Your Thoughts,Male,Bisexual,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Agree,Agree,Strongly Agree,I liked the part where we were able to develop a sense of solidarity amongst one another by sharing our insecurities. 
21-009-006,Active Minds: Food for Your Thoughts,Male,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",From a friend,Agree,Neither Agree nor Disagree,Agree,It was a nice way to meet people and get snacks
21-009-007,Active Minds: Food for Your Thoughts,Male,Heterosexual/Straight,White,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Agree,"I liked that it was interactive in terms with working with people sitting around you, and I also enjoyed the supplementation of GGtude as it seems like a very cool app"
21-009-008,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,From a friend,Agree,Agree,Agree,
21-009-009,Active Minds: Food for Your Thoughts,Female,Pansexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Agree,Agree,Strongly Agree,I really liked the workshop and CBT
21-009-010,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,Email,Strongly Agree,Strongly Agree,Strongly Agree,"Free food, kind people, helpful advice, practical strategies for helping w mental health, great sense of community, good presentation "
21-009-011,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,Off-campus apartment,Part of Active Minds ,Agree,Agree,Agree,The activity was super cool!
21-009-012,Active Minds: Food for Your Thoughts,Male,Heterosexual/Straight,White,No,Undergraduate 3rd Year,Off-campus apartment,"Instagram, From a friend",Strongly Disagree,Strongly Disagree,Agree,"I liked the opportunity to share things with a larger group, but I feel like I would be a bit more comfortable to have opportunities for one-on-one conversations"
21-009-013,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,White,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",From a friend,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Overall thought the event was great 
21-009-014,Active Minds: Food for Your Thoughts,Female,Bisexual,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Email,Agree,Agree,Strongly Agree,
21-009-015,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,Moroccan North African,Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,I loved the collaboration and unity. It felt like a small family and break from reality and school which can be helpful when dealing with mental health issues. 
21-009-016,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,White,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,"I loved the activity of grabbing a snack if you resonated with an insecurity someone anonymously shared since it reminded me that insecurities such as body image, academia, and jobs are not unique to me. "
21-009-017,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,White,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,Loved the healthy snacks and insightful questions. Would’ve enjoyed more opportunities to talk with other students.
21-009-018,Active Minds: Food for Your Thoughts,Female,Bisexual,Hispanic or Latinx,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Strongly Agree,Strongly Agree,Strongly Agree,I liked the food activity because it showcased how many of us have insecurities. I also thought the mind mapping/thought changing activity was really helpful and will be something I’ll try and implement in the future. 
21-009-019,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,
21-009-020,Active Minds: Food for Your Thoughts,Female,Heterosexual/Straight,Hispanic or Latinx,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,I liked how vulnerable we all were because it can be easy to put on a brave face in an academic setting. 
21-009-021,Active Minds: Food for Your Thoughts,Male,Heterosexual/Straight,Asian,No,UCLA Graduate Student,"On campus housing (dorms, university apartment)",Instagram,Strongly Disagree,Strongly Disagree,Strongly Disagree,
21-010-001,Health Nutrition and Fitness x SHEP: Unlocking the art of eating well,Non-Binary,Gay,biracial ,No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,"liked the variety in the panel's occupations, would have liked to not have the panelists have time limits in the answers "
21-010-002,Health Nutrition and Fitness x SHEP: Unlocking the art of eating well,Female,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,Off-campus apartment,From a friend,Strongly Disagree,Strongly Disagree,Strongly Disagree,super fun and engaging!
21-010-003,Health Nutrition and Fitness x SHEP: Unlocking the art of eating well,Non-Binary,Asexual,Black or African American,Yes,UCLA Graduate Student,Off-campus apartment,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,
21-010-004,Health Nutrition and Fitness x SHEP: Unlocking the art of eating well,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,From a friend,Strongly Agree,Strongly Agree,Strongly Agree,
21-010-005,Health Nutrition and Fitness x SHEP: Unlocking the art of eating well,Female,Prefer not to state,"Asian, Native Hawaiian or Pacific Islander, White",No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,"the openness and friendliness of the panelists, and the information, ofc!!"
21-011-001,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,UCLA Graduate Student,"On campus housing (dorms, university apartment)",Email,Strongly Agree,Strongly Agree,Strongly Agree,
21-011-002,Bruinecessities: Oral Hygiene Fair,Prefer not to state,Prefer not to state,Other,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,
21-011-003,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,Asian,Yes,Undergraduate 3rd Year,Off-campus apartment,From a friend,Agree,Agree,Agree,
21-011-004,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,"Native American, White",Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,loved!!
21-011-005,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,
21-011-006,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,It was fun 
21-011-007,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Strongly Agree,Strongly Agree,I liked that there was an interactive part with spinning the wheel to answer trivia questions. Also I liked the location of the fair because I saw it by chance!
21-011-008,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Hispanic or Latinx,No,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,I liked the prizes and how nice they were
21-011-009,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Marketing (flyers) on the Hill,Agree,Agree,Agree,
21-011-010,Bruinecessities: Oral Hygiene Fair,Male,Heterosexual/Straight,Black or African American,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,i liked talking to stephanie
21-011-011,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 4th Year,Off-campus apartment,Saw event by chance,Agree,Agree,Agree,
21-011-012,Bruinecessities: Oral Hygiene Fair,Male,Heterosexual/Straight,Asian,No,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,
21-011-013,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,Hispanic or Latinx,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Instagram,Agree,Agree,Agree,
21-011-014,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,
21-011-015,Bruinecessities: Oral Hygiene Fair,Male,Gay,Hispanic or Latinx,Yes,UCLA Graduate Student,Off-campus apartment,Saw event by chance,Agree,Agree,Agree,
21-011-016,Bruinecessities: Oral Hygiene Fair,Male,Heterosexual/Straight,White,No,UCLA Graduate Student,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,
21-011-017,Bruinecessities: Oral Hygiene Fair,Female,Pansexual,Asian,No,UCLA Graduate Student,Off-campus apartment,Saw event by chance,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,
21-011-018,Bruinecessities: Oral Hygiene Fair,Male,Gay,Asian,No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Agree,Agree,Agree,Free things!
21-011-019,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,
21-011-020,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Native American,No,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Instagram,Strongly Agree,Strongly Agree,Strongly Agree,Nice friendly space 
21-011-021,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,White,Yes,Undergraduate 3rd Year,Off-campus apartment,Saw event by chance,Strongly Disagree,Strongly Disagree,Strongly Disagree,How friendly everyone was
21-011-022,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Hispanic or Latinx,Yes,Undergraduate 4th Year,Off-campus apartment,Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,I liked the free dental kit
21-011-023,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,
21-011-024,Bruinecessities: Oral Hygiene Fair,Male,Heterosexual/Straight,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Facebook,Strongly Disagree,Strongly Disagree,Strongly Disagree,
21-011-025,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Agree,Agree,Agree,i like the free stuff but i don’t really like how  hidden the event was. 
21-011-026,Bruinecessities: Oral Hygiene Fair,Male,Prefer not to state,Asian,No,UCLA Graduate Student,Off-campus apartment,Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,
21-011-027,Bruinecessities: Oral Hygiene Fair,Female,Pansexual,Asian,No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,I liked the location :)
21-011-028,Bruinecessities: Oral Hygiene Fair,Female,Heterosexual/Straight,Asian,No,Undergraduate 2nd Year,"On campus housing (dorms, university apartment)",From a friend,Strongly Agree,Strongly Agree,Strongly Agree,
21-011-029,Bruinecessities: Oral Hygiene Fair,Female,Asexual,Hispanic or Latinx,No,Undergraduate 2nd Year,Attending remotely within the US,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,
21-011-030,Bruinecessities: Oral Hygiene Fair,Female,Bisexual,"Native American, White",Yes,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)",Saw event by chance,Strongly Agree,Strongly Agree,Strongly Agree,It was really informative and fun! 
21-012-001,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Heterosexual/Straight,"Middle Eastern, White",No,Undergraduate 3rd Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,Loved getting to know new people and learning new skills like mindfulness meditation.
21-012-002,"Body Image Task Force: Beaches, Bodies, and Bonfires",Male,Heterosexual/Straight,"Asian, White",No,Undergraduate 1st Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Neither Agree nor Disagree,Agree,"The fire was fun, the preparing research to present at the event was less fun."
21-012-003,"Body Image Task Force: Beaches, Bodies, and Bonfires",Non-Binary,Bisexual,White,Yes,Undergraduate 4th Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Agree,Agree,Strongly Agree,"Free trip to the beach, yummy food, good company and some lovely mindfulness/yoga exercises. And I met new people!"
21-012-004,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Bisexual,Hispanic or Latinx,No,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)","Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,I loved being able to meet new people as well as the yoga and meditation stations! The food was great and the event organizers made sure everyone had a good time! 
21-012-005,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Heterosexual/Straight,White,No,Undergraduate 3rd Year,Off-campus apartment,Facebook,Strongly Agree,Strongly Agree,Strongly Agree,
21-012-006,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Heterosexual/Straight,"Asian, Middle Eastern",Yes,Undergraduate 4th Year,Off-campus apartment,Instagram,Agree,Agree,Strongly Agree,
21-012-007,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Pansexual,Asian,No,Undergraduate 3rd Year,Off-campus apartment,"Instagram, From a friend",Strongly Agree,Strongly Agree,Strongly Agree,"I loved being outdoors, and being in a safe space. The yoga workshop was fantastic, and it was really nice to be in community with other people trying to unwind and be gentle to ourselves."
21-012-008,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Heterosexual/Straight,"Middle Eastern, White",No,Undergraduate 3rd Year,Off-campus apartment,Instagram,Strongly Agree,Strongly Agree,Strongly Agree,LOVED EVERYTHING ABOUT THIS EVENT!!!!
21-012-009,"Body Image Task Force: Beaches, Bodies, and Bonfires",Female,Heterosexual/Straight,White,No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Strongly Agree,Strongly Agree,Loved the good vibes! I would leave earlier from UCLA around 3pm instead of almost 5 pm because of traffic. 
21-013-001,Sexperts: Sexual Health and Wellness Fair,Female,Bisexual,Hispanic or Latinx,No,Undergraduate 3rd Year,"On campus housing (dorms, university apartment)","Instagram, From a friend",Strongly Agree,Strongly Agree,Strongly Agree,
21-014-001,Health Nutrition and Fitness x UCLA CPR: Sidewalk Social,Female,Prefer not to state,"Asian, Native Hawaiian or Pacific Islander, White",No,Undergraduate 4th Year,Off-campus apartment,"Part of the committee that planned the event (if you are selecting this option, please do not select any other options)",Strongly Agree,Agree,Strongly Agree,"I liked how laid back it was, and yet we still learned sidewalk CPR. I hope I never have to use it, but if I did, I'd actually feel relatively prepared. They're a super friendly group of people!"
